SRVID;Date d'ouverture co;Date de souscription;Techno;Reseau;Code INSEE;Adresse IP;OPTIONS;Nb STB;STB1;STB2;STB3;STB4;STB5;STB6;STB7;STB8;STB9;STB10
;;;;;;;;0;;;;;;;;;;
34007054;05/06/2021 12:21;19/05/2021 17:36;FIBRE;BYT;59328;89.87.223.130;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | FIBRE_CHAINE_HUSTLER | HD | IPTV_MYTF1MAX_INCLUS | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011025113224;;;;;;;;;
25294932;12/10/2021 16:12;12/10/2021 13:33;FIBRE;BYT;63070;31.36.168.86;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_NPVR_BASIC_PARC | LIVE | NPVR_TYPE | SVOD | VOD | VOD_24;1;272011947219802;;;;;;;;;
33946829;08/06/2022 13:07;28/04/2021 19:00;XDSL;BYT;59352;100.67.134.51;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN | IPTV_STO | LIVE | OTT_LIVE_DRM_STB | SVOD | VOD | VOD_24;1;271011712422830;;;;;;;;;
36097900;;22/12/2021 15:26;FIBRE;BYT;69384;;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;0;;;;;;;;;;
33544131;30/01/2022 11:32;06/01/2022 07:34;FIBRE;BYT;91191;176.144.84.142;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | OTT_LIVE_DRM_STB | SVOD | VOD | VOD_24;1;272011831320815;;;;;;;;;
33478398;19/12/2020 18:51;14/12/2020 18:03;XDSL;BYT;63315;87.91.95.208;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN | LIVE | SVOD | TIME | VOD | VOD_24;1;271011634223795;;;;;;;;;
23470077;05/01/2021 19:04;09/01/2020 08:50;FIBRE;BYT;95176;94.239.254.144;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | FIBRE_SALTO | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011029101167;;;;;;;;;
33846667;31/03/2022 09:02;25/03/2021 14:20;FIBRE;BYT;34172;176.183.209.108;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | FIBRE_BBOXCINE | HD | LIVE | SVOD | VOD | VOD_24;1;271011750311432;;;;;;;;;
37792263;;16/05/2022 14:31;FIBRE;BYT;75119;;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;0;;;;;;;;;;
