SRVID;Date d'ouverture co;Date de souscription;Techno;Reseau;Code INSEE;Nb STB;STB1;STB2;STB3;STB4;STB5;STB6;STB7;STB8;STB9;STB10;Adresse IP;OPTIONS
25354826;19/03/2021 07:20;18/03/2021 20:14;XDSL;FT;76259;1;222060442639528;;;;;;;;;;176.155.80.51;BBOX_FT | RADIO_FT | HD | IPTV_FT_BASIC | IPTV_FT_BASIC_ADVANC | LIVE | SVOD | VOD | VOD_24
33836968;27/06/2021 21:32;22/03/2021 18:09;FIBRE;BYT;93051;2;271011649306130;271011721213154;;;;;;;;;176.183.216.74;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | FIBRE_OCS | HD | IPTV_STO | IPTV_SVOD_OCS | LIVE | MULTI | SVOD | VOD | VOD_24
31224814;23/12/2021 12:10;20/12/2018 19:44;XDSL;BYT;83134;1;271011742613457;;;;;;;;;;31.35.231.98;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN | IPTV_STO | LIVE | MULTI | OTT_LIVE_DRM_STB | SVOD | TIME | VOD | VOD_24
36938387;25/03/2022 09:44;23/02/2022 18:02;FIBRE;BYT;59618;3;272011915608218;272011814706709;214021113556474;;;;;;;;176.137.110.16;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | FIBRE_BBOXCINE | FIBRE_SALTO | HD | IPTV_STO | LIVE | MULTI | SVOD | VOD | VOD_24
28305630;;26/05/2022 11:49;FIBRE;BYT;63063;0;;;;;;;;;;;;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | MULTI | SVOD | VOD | VOD_24
32856201;09/09/2021 13:33;25/06/2020 13:03;FIBRE;BYT;69387;0;;;;;;;;;;;;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | LIVE | MULTI | OTT_LIVE_DRM_STB | SVOD | VOD | VOD_24
27487131;24/12/2021 12:49;16/06/2016 21:06;XDSL;BYT;28279;4;271011712614220;271011724530091;271011824618937;271011715668405;;;;;;;31.32.144.162;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN | LIVE | MULTI | OTT_LIVE_DRM_STB | SVOD | TIME | VOD | VOD_24
20492336;13/05/2022 16:36;23/10/2017 11:31;XDSL;BYT;92048;7;214026040768340;214026040731249;214021925606905;271011547505999;272011804506739;272011023220484;271011444200363;;;;100.64.0.34;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN |  |  | IPTV_BYT_OCS | IPTV_BYT_SALTO | IPTV_MYTF1MAX | IPTV_SVOD_OCS | LIVE | MULTI | SVOD | TIME | VOD | VOD_24
29702835;30/04/2022 19:17;20/04/2022 09:33;FIBRE;BYT;59481;5;272011020103063;271011719426057;271011702109439;272011028104253;272011039221864;;;;;;176.137.60.21;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | MULTI | OTT_LIVE_DRM_STB | SVOD | VOD | VOD_24
24302107;16/04/2022 19:28;17/04/2014 07:41;XDSL;FT;33284;3;271011802309178;271011743411612;222067313410434;;;;;;;;176.152.49.35;BBOX_FT | RADIO_FT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_FT_BASIC | IPTV_FT_BASIC_ADVANC | LIVE | MULTI | SVOD | TIME | VOD | VOD_24
33267876;07/06/2022 11:58;11/10/2020 12:01;FIBRE;BYT;92048;10;214029113502232;214024203402229;214026040715606;214029113500459;214021041741081;214024203402138;214021041730639;214029113501424;214021113544272;214021035439148;176.175.142.150;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC |  | FIBRE_BASIC | FIBRE_BEIN_CRYP1 | FIBRE_BEIN_CRYP2 | FIBRE_BEIN_CRYP3 | FIBRE_BEIN_SPORT |  |  |  | FIBRE_JEUNESSE | FIBRE_OCS | FIBRE_PACK_3 | HD | IPTV_MYTF1MAX | IPTV_NPVR_BASIC_PARC | IPTV_STO | IPTV_SVOD_OCS | LIVE | MULTI | NPVR_TYPE | OTT_LIVE_DRM_STB | SVOD | VOD | VOD_24
32024638;27/05/2022 16:34;06/07/2020 02:02;XDSL;BYT;92049;8;214029113502018;272011103323513;214024203400629;271011436100688;214024203402377;271011715249578;272011745500916;271099513633622;;;176.143.170.224;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC |  | HD | IPTV_BYT_ARABE_MAXI |  | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN |  |  |  |  |  |  | IPTV_BYT_OCS |  |  | IPTV_BYT_SALTO |  | IPTV_STO | IPTV_SVOD_OCS | LIVE | MULTI |  | OTT_LIVE_DRM_STB | SVOD | TIME | VOD | VOD_24
32952431;26/05/2022 12:26;21/11/2020 17:25;FIBRE;BYT;85191;6;214023145403469;272011012112833;272011030700247;214023134126436;272011913603898;272011905320105;;;;;176.170.24.55;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | FIBRE_BBOXCINE | FIBRE_BEIN_CRYP1 | FIBRE_BEIN_CRYP2 | FIBRE_BEIN_CRYP3 | FIBRE_BEIN_SPORT | FIBRE_GRAND_ANGLE | HD | IPTV_PBCANALB | IPTV_STO | LIVE | MULTI | SVOD | VOD | VOD_24
